TripID	SurveyYear	DayID	IndividualID	HouseholdID	PSUID	PersNo	TravDay	JourSeq	HowComp_B01ID	SeriesCall_B01ID	ShortWalkTrip_B01ID	NumStages	NumStages_B01ID	MainMode_B03ID	MainMode_B04ID	MainMode_B11ID	TripPurpose_B02ID	TripPurpose_B04ID	TripDisIncSW	TripDisIncSW_B01ID	TripDisExSW	TripDisExSW_B01ID	TripPurpFrom_B01ID	TripPurpTo_B01ID	TripPurpose_B01ID	JJXSC	JOTXSC	JTTXSC	JD	W5	W5xHh	TripStartHours	TripStartMinutes	TripStart	TripStart_B01ID	TripStart_B02ID	TripEndHours	TripEndMinutes	TripEnd	TripEnd_B01ID	TripEnd_B02ID	TripTotalTime	TripTotalTime_B01ID	TripTravTime	TripTravTime_B01ID	TripOrigGOR_B02ID	TripDestGOR_B02ID	TripOrigUA2009_B01ID	TripDestUA2009_B01ID	ShortWalkTrip_ImpBin	TripPurpFrom_ImpBin	TripPurpTo_ImpBin	TripPurpose_ImpBin	TripDis_ImpBin	TripTotalTime_ImpBin	TripTravTime_ImpBin	TripOrigUA2009_ImpBin	TripOrigUA1998_ImpBin	TripDestUA2009_ImpBin	TripDestUA1998_ImpBin	TripOrigCounty_ImpBin	TripDestCounty_ImpBin	TripOrigGOR_ImpBin	TripDestGOR_ImpBin
42	2002	10	2	1	1	2	3	9	2	2	2	1	1	5	3	5	7	6	.8	1	.8	1	8	8	9	1	7	7	.8	1.06166470050812	1.0749181807006	14	5	845	15	28	14	12	852	15	28	7	2	7	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
43	2002	10	2	1	1	2	3	10	2	2	2	1	1	5	3	5	8	7	1	2	1	2	8	10	10	1	8	8	1	.99989134073257	1.0123736621969	14	25	865	15	28	14	33	873	15	29	8	3	8	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
44	2002	10	2	1	1	2	3	11	2	2	2	1	1	5	3	5	4	3	.8	1	.8	1	10	20	21	1	6	6	.8	1.00631296634674	1.018875453317	15	8	908	16	30	15	14	914	16	30	6	2	6	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
45	2002	10	2	1	1	2	3	12	2	2	2	1	1	5	3	5	4	3	.5	1	.5	1	20	23	21	1	4	4	.5	1.00631296634674	1.018875453317	15	22	922	16	30	15	26	926	16	30	4	2	4	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
46	2002	10	2	1	1	2	3	13	2	2	2	1	1	5	3	5	5	4	3	4	3	4	23	5	6	1	15	15	3	1.11187028884888	1.1257505194366	15	40	940	16	31	15	55	955	16	31	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
47	2002	10	2	1	1	2	3	14	2	2	2	1	1	5	3	5	8	7	.5	1	.5	1	5	10	10	1	17	17	.5	.99989134073257	1.0123736621969	16	55	1015	17	34	17	12	1032	18	35	17	4	17	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48	2002	10	2	1	1	2	3	15	2	2	2	1	1	5	3	5	8	7	3	4	3	4	10	23	10	1	28	28	3	.99989134073257	1.0123736621969	18	0	1080	19	39	18	28	1108	19	40	28	4	28	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
49	2002	11	2	1	1	2	4	1	2	2	2	1	1	5	3	5	5	4	.3	1	.3	1	23	4	5	1	2	2	.3	1.10660743713379	1.1204219679757	16	0	960	17	32	16	2	962	17	32	2	1	2	1	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50	2002	11	2	1	1	2	4	2	2	2	2	1	1	5	3	5	5	4	.3	1	.3	1	4	23	5	1	2	2	.3	1.10660743713379	1.1204219679757	16	10	970	17	32	16	12	972	17	32	2	1	2	1	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51	2002	11	2	1	1	2	4	3	2	2	2	1	1	5	3	5	1	1	.5	1	.5	1	23	1	1	1	3	3	.5	1.01983189582825	1.0325631487602	17	55	1075	18	38	17	58	1078	18	38	3	2	3	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
52	2002	12	2	1	1	2	5	1	2	2	2	1	1	5	3	5	1	1	.5	1	.5	1	1	23	1	1	3	3	.5	1.01487636566162	1.027545755351	6	0	360	7	7	6	3	363	7	7	3	2	3	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
53	2002	12	2	1	1	2	5	2	2	2	2	1	1	5	3	5	9	7	4	4	4	4	23	9	11	1	15	15	4	1.03706002235413	1.050006345669	12	50	770	13	25	13	5	785	14	26	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
54	2002	12	2	1	1	2	5	3	2	2	2	1	1	5	3	5	9	7	4	4	4	4	9	23	11	1	12	12	4	1.03706002235413	1.050006345669	15	5	905	16	30	15	17	917	16	30	12	3	12	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
55	2002	12	2	1	1	2	5	4	2	2	2	1	1	5	3	5	1	1	.5	1	.5	1	23	1	1	1	5	5	.5	1.01487636566162	1.027545755351	17	55	1075	18	38	18	0	1080	19	39	5	2	5	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
56	2002	13	2	1	1	2	6	1	2	2	2	1	1	5	3	5	1	1	.5	1	.5	1	1	23	1	1	5	5	.5	1.01764357089996	1.0303475054883	5	50	350	6	6	5	55	355	6	6	5	2	5	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
57	2002	13	2	1	1	2	6	2	2	2	2	1	1	5	3	5	6	5	3	4	3	4	23	22	23	1	15	15	3	1.06242978572845	1.0756928169984	14	35	875	15	29	14	50	890	15	29	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58	2002	13	2	1	1	2	6	3	2	2	2	1	1	5	3	5	4	3	3	4	3	4	22	20	21	1	14	14	3	1.04229986667633	1.0553116025201	14	58	898	15	29	15	12	912	16	30	14	3	14	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
59	2002	13	2	1	1	2	6	4	2	2	2	1	1	5	3	5	4	3	.5	1	.5	1	20	23	21	1	9	9	.5	1.04229986667633	1.0553116025201	15	22	922	16	30	15	31	931	16	31	9	3	9	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60	2002	13	2	1	1	2	6	5	2	2	2	1	1	5	3	5	1	1	.5	1	.5	1	23	1	1	1	6	6	.5	1.01764357089996	1.0303475054883	21	50	1310	22	47	21	56	1316	22	47	6	2	6	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
61	2002	14	2	1	1	2	7	1	2	2	2	1	1	5	3	5	1	1	.5	1	.5	1	1	23	1	1	3	3	.5	1.03785490989685	1.0508111563318	5	45	345	6	6	5	48	348	6	6	3	2	3	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
62	2002	14	2	1	1	2	7	2	2	2	2	1	1	5	3	5	6	5	3	4	3	4	23	22	23	1	17	17	3	1.10139000415802	1.115139402247	14	30	870	15	29	14	47	887	15	29	17	4	17	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
63	2002	14	2	1	1	2	7	3	2	2	2	1	1	5	3	5	4	3	3	4	3	4	22	20	21	1	15	15	3	1.04927825927734	1.0623771111268	15	0	900	16	30	15	15	915	16	30	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
64	2002	14	2	1	1	2	7	4	2	2	2	1	1	5	3	5	4	3	.5	1	.5	1	20	23	21	1	10	10	.5	1.04927825927734	1.0623771111268	15	23	923	16	30	15	33	933	16	31	10	3	10	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
65	2002	14	2	1	1	2	7	5	2	2	2	1	1	5	3	5	1	1	.5	1	.5	1	23	1	1	1	3	3	.5	1.03785490989685	1.0508111563318	21	51	1311	22	47	21	54	1314	22	47	3	2	3	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
66	2002	16	3	1	1	3	2	1	2	2	2	1	1	7	4	6	8	7	1	2	1	2	23	10	10	1	8	8	1	.98961800336838	1.0019720757978	11	15	675	12	22	11	23	683	12	22	8	3	8	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
67	2002	16	3	1	1	3	2	2	2	2	2	1	1	7	4	6	7	6	1	2	1	2	10	8	9	1	15	15	1	1.00294530391693	1.0154657500741	12	0	720	13	24	12	15	735	13	24	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68	2002	16	3	1	1	3	2	3	2	2	2	1	1	7	4	6	8	7	1	2	1	2	8	10	10	1	10	10	1	.98961800336838	1.0019720757978	12	50	770	13	25	13	0	780	14	26	10	3	10	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
69	2002	16	3	1	1	3	2	4	2	2	2	1	1	27	12	21	8	7	1	2	1	2	10	23	10	1	20	20	1	.98961800336838	1.0019720757978	18	30	1110	19	41	18	50	1130	19	41	20	4	20	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
70	2002	17	3	1	1	3	3	1	2	2	2	1	1	7	4	6	3	3	.5	1	.5	1	23	3	4	1	5	5	.5	.98767024278641	1	8	50	530	9	16	8	55	535	9	16	5	2	5	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
71	2002	17	3	1	1	3	3	2	2	2	2	1	1	7	4	6	3	3	.5	1	.5	1	3	23	4	1	4	4	.5	.98767024278641	1	15	22	922	16	30	15	26	926	16	30	4	2	4	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
72	2002	17	3	1	1	3	3	3	2	2	2	1	1	7	4	6	5	4	3	4	3	4	23	5	6	1	15	15	3	1.11187028884888	1.1257505194366	15	40	940	16	31	15	55	955	16	31	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
73	2002	17	3	1	1	3	3	4	2	2	2	1	1	7	4	6	8	7	.5	1	.5	1	5	10	10	1	17	17	.5	.99989134073257	1.0123736621969	16	55	1015	17	34	17	12	1032	18	35	17	4	17	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
74	2002	17	3	1	1	3	3	5	2	2	2	1	1	7	4	6	8	7	3	4	3	4	10	23	10	1	28	28	3	.99989134073257	1.0123736621969	18	0	1080	19	39	18	28	1108	19	40	28	4	28	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
75	2002	19	3	1	1	3	5	1	2	2	2	1	1	7	4	6	9	7	4	4	4	4	23	9	11	1	15	15	4	1.03706002235413	1.050006345669	12	50	770	13	25	13	5	785	14	26	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
76	2002	19	3	1	1	3	5	2	2	2	2	1	1	7	4	6	9	7	4	4	4	4	9	23	11	1	12	12	4	1.03706002235413	1.050006345669	15	5	905	16	30	15	17	917	16	30	12	3	12	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
77	2002	20	3	1	1	3	6	1	2	2	2	1	1	7	4	6	3	3	.5	1	.5	1	3	23	4	1	9	9	.5	1.06374895572662	1.07702845509	15	22	922	16	30	15	31	931	16	31	9	3	9	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78	2002	21	3	1	1	3	7	1	2	2	1	1	1	1	1	1	3	3	.5	1	0	1	23	3	4	7	105	105	3.5	1.10391862714286	1.1176995917468	8	45	525	9	16	9	0	540	10	17	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
79	2002	21	3	1	1	3	7	2	2	2	2	1	1	7	4	6	3	3	.5	1	.5	1	3	23	4	1	10	10	.5	1.04653024673462	1.0595947932806	15	23	923	16	30	15	33	933	16	31	10	3	10	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
80	2002	23	4	1	1	4	2	1	2	2	2	1	1	7	4	6	8	7	1	2	1	2	23	10	10	1	8	8	1	.98961800336838	1.0019720757978	11	15	675	12	22	11	23	683	12	22	8	3	8	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
81	2002	23	4	1	1	4	2	2	2	2	2	1	1	7	4	6	7	6	1	2	1	2	10	8	9	1	15	15	1	1.00294530391693	1.0154657500741	12	0	720	13	24	12	15	735	13	24	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
82	2002	23	4	1	1	4	2	3	2	2	2	1	1	7	4	6	8	7	1	2	1	2	8	10	10	1	10	10	1	.98961800336838	1.0019720757978	12	50	770	13	25	13	0	780	14	26	10	3	10	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
83	2002	23	4	1	1	4	2	4	2	2	2	1	1	27	12	21	8	7	1	2	1	2	10	23	10	1	20	20	1	.98961800336838	1.0019720757978	18	30	1110	19	41	18	50	1130	19	41	20	4	20	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
84	2002	24	4	1	1	4	3	1	2	2	2	1	1	7	4	6	8	7	1	2	1	2	23	10	10	1	10	10	1	.99989134073257	1.0123736621969	12	40	760	13	25	12	50	770	13	25	10	3	10	3	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
85	2002	24	4	1	1	4	3	2	2	2	2	1	1	7	4	6	8	7	2	3	2	3	10	10	10	1	15	15	2	.99989134073257	1.0123736621969	13	10	790	14	26	13	25	805	14	26	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
86	2002	24	4	1	1	4	3	3	2	2	2	1	1	7	4	6	7	6	2	3	2	3	10	8	9	1	15	15	2	1.06166470050812	1.0749181807006	13	30	810	14	27	13	45	825	14	27	15	4	15	4	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
87	2002	24	4	1	1	4	3	4	2	2	2	1	1	7	4	6	7	6	.8	1	.8	1	8	8	9	1	7	7	.8	1.06166470050812	1.0749181807006	14	5	845	15	28	14	12	852	15	28	7	2	7	2	7	7	530	550	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
