pid,gender,job,occ,inc
census_343,male,work,white,low
census_344,other,work,white,high
census_345,male,work,blue,high
census_346,male,work,white,medium
census_347,male,work,blue,medium
census_348,female,work,blue,high
census_349,male,education,white,high
census_350,other,work,blue,high
census_351,other,work,blue,high
census_352,male,work,blue,low
census_353,other,education,blue,low
census_354,other,work,white,high
census_355,female,work,blue,low
census_356,male,education,white,medium
census_357,other,work,white,low
census_358,other,work,white,high
census_359,male,work,white,high
census_360,female,education,blue,medium
census_361,other,work,blue,high
census_362,female,work,white,low
census_363,male,work,white,low
census_364,other,work,white,high
census_365,female,education,white,high
census_366,male,work,white,high
census_367,male,work,blue,low
census_368,other,education,white,medium
census_369,male,education,white,high
census_370,female,work,blue,low
census_371,male,work,white,low
census_372,male,work,white,high
census_373,female,work,blue,medium
census_374,other,work,white,low
census_375,other,work,white,low
census_376,other,work,white,medium
census_377,female,work,white,medium
census_378,female,work,white,low
census_379,male,work,blue,low
census_380,other,education,white,low
census_381,male,work,blue,medium
census_382,male,work,white,medium
census_383,female,work,blue,high
census_384,male,work,white,low
census_385,other,education,blue,medium
census_386,female,work,blue,medium
census_387,male,work,blue,medium
census_388,other,work,white,low
census_389,male,work,white,high
census_390,other,work,blue,medium
census_391,other,education,blue,medium
census_392,female,education,blue,low
census_393,female,work,blue,medium
census_394,other,work,blue,low
census_395,other,education,white,low
census_396,male,work,blue,medium
census_397,male,work,blue,high
census_398,female,work,white,medium
census_399,other,work,white,high
census_400,female,education,blue,medium
census_401,female,work,white,low
census_402,other,work,white,low
census_403,male,work,white,low
census_404,female,work,white,medium
census_405,female,work,white,medium
census_406,female,work,blue,medium
census_407,male,work,white,medium
census_408,male,work,white,medium
census_409,other,work,blue,high
census_410,female,work,blue,low
census_411,female,work,white,low
census_412,male,work,white,medium
census_413,other,work,white,high
census_414,male,education,blue,low
census_415,other,work,blue,medium
census_416,other,work,white,high
census_417,male,work,blue,low
census_418,female,education,white,medium
census_419,male,work,blue,low
census_420,male,work,white,medium
census_421,male,education,white,high
census_422,other,work,white,low
census_423,other,education,white,medium
census_424,female,work,blue,medium
census_425,other,work,blue,low
census_426,female,work,blue,high
census_427,female,work,white,high
census_428,female,education,white,medium
census_429,female,education,white,medium
census_430,female,work,blue,low
census_431,other,work,blue,medium
census_432,female,work,blue,high
census_433,male,education,white,low
census_434,male,education,white,high
census_435,other,education,blue,medium
census_436,other,education,white,low
census_437,female,education,blue,medium
census_438,female,work,white,low
census_439,female,work,white,medium
census_440,male,work,white,medium
census_441,male,work,blue,high
census_442,female,education,white,high
census_443,other,work,blue,medium
census_444,female,work,white,medium
census_445,other,work,white,low
census_446,other,work,blue,high
census_447,male,work,white,medium
census_448,other,work,white,high
census_449,other,work,blue,high
census_450,male,work,blue,medium
census_451,other,work,white,medium
census_452,female,work,blue,high
census_453,female,work,blue,high
census_454,female,work,blue,low
census_455,other,education,blue,low
census_456,female,work,blue,low
census_457,male,work,white,high
census_458,other,work,blue,low
census_459,female,work,white,high
census_460,female,work,white,medium
census_461,male,work,blue,low
census_462,other,education,white,medium
census_463,female,work,white,low
census_464,female,work,white,low
census_465,male,work,white,low
census_466,female,work,blue,medium
census_467,male,work,white,low
census_468,female,work,white,low
census_469,female,education,white,low
census_470,female,work,white,high
census_471,other,work,blue,medium
census_472,female,work,blue,low
census_473,male,work,blue,low
census_474,male,work,white,high
census_475,male,work,blue,medium
census_476,male,education,blue,high
census_477,other,work,blue,medium
census_478,other,work,white,high
census_479,male,work,blue,medium
census_480,other,work,blue,low
census_481,female,education,white,high
census_482,other,education,blue,medium
census_483,other,work,white,low
census_484,other,work,white,low
census_485,female,work,blue,medium
census_486,other,work,blue,medium
census_487,other,work,blue,low
census_488,other,work,white,medium
census_489,female,education,white,medium
census_490,male,education,white,medium
census_491,other,education,white,high
census_492,other,work,white,low
census_493,other,work,white,low
census_494,other,work,blue,high
census_495,other,work,white,high
census_496,other,work,blue,medium
census_497,other,education,white,high
census_498,other,work,white,medium
census_499,other,work,blue,low
census_500,male,work,blue,high
census_501,male,work,blue,medium
census_502,male,education,white,low
census_503,male,work,white,medium
census_504,male,work,blue,high
census_505,other,work,blue,medium
census_506,male,work,white,medium
census_507,other,work,white,high
census_508,male,work,blue,high
census_509,male,work,white,low
census_510,female,work,blue,medium
census_511,other,work,blue,medium
census_512,female,work,blue,medium
census_513,other,education,blue,low
census_514,female,work,blue,low
census_515,female,work,blue,high
census_516,female,work,white,medium
census_517,male,work,white,low
census_518,female,work,blue,medium
census_519,male,work,white,low
census_520,other,work,blue,low
census_521,other,work,blue,medium
census_522,male,work,blue,high
census_523,female,work,white,medium
census_524,other,work,white,high
census_525,female,work,blue,low
census_526,male,work,white,medium
census_527,other,work,white,medium
census_528,male,work,blue,low
census_529,other,work,white,high
census_530,other,work,blue,low
census_531,male,work,blue,high
census_532,female,work,white,high
census_533,female,work,white,low
census_534,female,work,blue,medium
census_535,male,work,white,high
census_536,male,work,white,high
census_537,male,work,blue,low
census_538,male,work,white,high
census_539,female,work,blue,medium
census_540,female,work,white,medium
census_541,other,work,blue,low
census_542,female,work,blue,high
census_543,other,work,blue,low
census_544,other,work,blue,low
census_545,female,work,white,medium
census_546,male,work,white,low
census_547,other,work,blue,medium
census_548,female,work,blue,high
census_549,female,work,white,high
census_550,male,work,white,high
census_551,other,education,blue,medium
census_552,other,work,blue,low
census_553,male,work,blue,low
census_554,female,work,blue,medium
census_555,male,work,blue,low
census_556,male,work,blue,high
census_557,female,education,blue,medium
census_558,other,work,blue,low
census_559,male,work,blue,low
census_560,male,work,blue,medium
census_561,other,work,blue,medium
census_562,female,work,white,high
census_563,female,work,white,high
census_564,male,work,blue,medium
census_565,female,work,blue,medium
census_566,male,work,white,high
census_567,female,work,blue,medium
census_568,male,work,blue,low
census_569,female,work,blue,high
census_570,female,work,white,medium
census_571,female,work,white,high
census_572,other,work,blue,low
census_573,female,education,blue,medium
census_574,female,work,blue,high
census_575,female,work,white,low
census_576,male,work,white,low
census_577,other,work,white,medium
census_578,male,work,blue,high
census_579,male,work,white,high
census_580,female,work,blue,medium
census_581,other,work,white,low
census_582,male,work,white,high
census_583,male,work,white,medium
census_584,female,education,white,medium
census_585,female,work,white,high
census_586,male,work,white,low
census_587,male,work,blue,low
census_588,other,work,blue,medium
census_589,female,education,white,medium
census_590,female,education,blue,high
census_591,female,education,white,low
census_592,other,work,blue,low
census_593,male,work,white,high
census_594,male,work,blue,medium
census_595,female,work,white,low
census_596,other,work,white,high
census_597,male,work,white,medium
census_598,male,work,blue,high
census_599,female,work,blue,medium
census_600,other,work,white,high
census_601,male,work,white,high
census_602,female,work,white,low
census_603,other,work,blue,medium
census_604,female,work,white,high
census_605,male,education,white,high
census_606,male,work,white,low
census_607,female,education,blue,high
census_608,male,work,white,high
census_609,other,education,white,medium
census_610,male,work,white,high
census_611,other,work,blue,medium
census_612,female,work,white,low
census_613,male,education,white,low
census_614,male,work,blue,high
census_615,other,work,white,low
census_616,other,work,blue,high
census_617,other,education,white,low
census_618,other,work,blue,low
census_619,male,work,white,low
census_620,other,work,blue,low
census_621,other,education,white,high
census_622,male,work,blue,high
census_623,other,work,white,low
census_624,other,work,white,high
census_625,female,work,white,low
census_626,other,work,white,high
census_627,other,work,white,high
census_628,male,work,blue,low
census_629,other,education,blue,low
census_630,female,work,blue,high
census_631,female,work,white,medium
census_632,male,work,white,low
census_633,other,education,blue,high
census_634,female,work,white,medium
census_635,other,education,blue,high
census_636,female,work,white,low
census_637,other,work,blue,high
census_638,male,work,blue,medium
census_639,male,education,blue,low
census_640,other,work,blue,low
census_641,female,work,blue,medium
census_642,male,work,white,high
census_643,other,work,white,high
census_644,other,work,blue,medium
census_645,female,work,blue,low
census_646,female,education,blue,medium
census_647,other,work,white,medium
census_648,other,work,blue,medium
census_649,other,work,blue,low
census_650,other,work,blue,low
census_651,male,work,blue,high
census_652,male,work,white,high
census_653,male,work,white,low
census_654,female,work,blue,low
census_655,female,work,blue,low
census_656,male,education,white,medium
census_657,other,work,blue,medium
census_658,female,education,blue,medium
census_659,female,work,white,medium
census_660,female,education,white,medium
census_661,male,work,blue,medium
census_662,male,work,blue,medium
census_663,other,work,white,high
census_664,male,work,blue,low
census_665,male,work,blue,high
census_666,male,education,white,high
census_667,female,work,blue,medium
census_668,male,work,white,medium
census_669,other,education,blue,low
census_670,male,education,blue,high
census_671,male,work,blue,medium
census_672,male,work,white,low
census_673,female,education,white,high
census_674,other,education,white,high
census_675,female,work,blue,medium
census_676,female,work,blue,high
census_677,male,work,blue,high
census_678,female,education,white,low
census_679,female,work,blue,low
census_680,male,work,white,low
census_681,female,work,white,low
census_682,male,education,white,medium
census_683,male,work,blue,high
census_684,male,work,white,medium
census_685,female,work,white,low
census_686,other,education,blue,low
census_687,male,work,blue,medium
census_688,male,work,white,high
census_689,female,work,blue,medium
census_690,other,education,white,low
census_691,male,work,white,low
census_692,other,work,blue,high
census_693,female,work,white,low
census_694,other,work,white,medium
census_695,other,work,blue,medium
census_696,female,work,blue,low
census_697,other,education,blue,low
census_698,female,work,blue,low
census_699,other,education,white,medium
census_700,male,work,white,high
census_701,other,work,white,medium
census_702,female,education,white,medium
census_703,female,work,white,low
census_704,male,work,blue,medium
census_705,other,work,white,high
census_706,male,work,blue,high
census_707,female,work,white,high
census_708,other,education,white,medium
census_709,female,work,blue,high
census_710,male,work,blue,high
census_711,male,work,blue,medium
census_712,other,work,white,low
census_713,other,work,blue,low
census_714,male,work,blue,medium
census_715,female,education,blue,high
census_716,male,work,blue,medium
census_717,female,education,white,high
census_718,male,work,blue,medium
census_719,female,work,blue,high
census_720,male,education,blue,medium
census_721,male,work,white,low
census_722,female,work,blue,high
census_723,male,work,white,medium
census_724,male,work,blue,high
census_725,male,work,white,high
census_726,other,work,white,medium
census_727,male,work,white,medium
census_728,male,work,blue,low
census_729,male,work,white,high
census_730,male,work,blue,low
census_731,other,work,blue,low
census_732,male,work,blue,high
census_733,female,work,blue,medium
census_734,other,work,white,low
census_735,male,work,white,medium
census_736,other,education,blue,low
census_737,male,work,white,high
census_738,other,work,white,medium
census_739,other,work,blue,low
census_740,other,work,blue,low
census_741,male,work,white,medium
census_742,male,work,blue,low
census_743,female,work,blue,low
census_744,female,work,white,low
census_745,female,education,white,medium
census_746,female,work,white,high
census_747,female,work,blue,high
census_748,male,education,blue,medium
census_749,male,work,white,medium
census_750,male,work,white,high
census_751,male,work,blue,medium
census_752,female,work,white,high
census_753,female,education,white,high
census_754,female,work,blue,low
census_755,male,work,white,high
census_756,male,work,blue,high
census_757,male,work,white,medium
census_758,male,education,blue,high
census_759,female,education,blue,medium
census_760,other,work,white,low
census_761,other,work,blue,medium
census_762,other,work,blue,medium
census_763,other,work,white,low
census_764,female,education,blue,high
census_765,female,work,white,low
census_766,other,work,white,medium
census_767,male,work,white,low
census_768,other,education,white,low
census_769,other,work,white,low
census_770,female,work,blue,medium
census_771,male,work,blue,medium
census_772,other,work,blue,low
census_773,male,work,white,medium
census_774,male,education,white,high
census_775,other,work,white,low
census_776,female,work,blue,medium
census_777,male,work,white,low
census_778,female,work,white,low
census_779,female,work,white,high
census_780,male,work,white,low
census_781,male,work,white,high
census_782,female,education,white,high
census_783,male,work,white,high
census_784,male,work,blue,low
census_785,male,education,white,high
census_786,female,work,white,high
census_787,female,work,blue,low
census_788,other,work,white,medium
census_789,female,work,blue,medium
census_790,male,work,white,high
census_791,other,work,blue,medium
census_792,female,work,blue,low
census_793,male,education,blue,medium
census_794,other,work,white,high
census_795,male,work,white,medium
census_796,female,work,white,medium
census_797,female,education,blue,high
census_798,female,work,white,low
census_799,male,work,blue,medium
census_800,other,work,white,high
census_801,other,work,blue,low
census_802,male,work,blue,low
census_803,other,work,blue,low
census_804,other,work,blue,medium
census_805,male,education,blue,high
census_806,female,work,white,low
census_807,male,work,blue,high
census_808,male,work,white,medium
census_809,male,education,blue,medium
census_810,other,work,blue,medium
census_811,male,work,white,high
census_812,male,work,blue,high
census_813,other,education,white,medium
census_814,other,education,white,medium
census_815,other,work,white,high
census_816,other,work,white,medium
census_817,female,work,white,high
census_818,male,work,white,high
census_819,male,work,white,medium
census_820,other,education,white,medium
census_821,male,work,blue,low
census_822,male,work,blue,high
census_823,other,education,blue,high
census_824,male,work,blue,medium
census_825,female,work,white,high
census_826,other,education,white,high
census_827,female,work,white,low
census_828,female,education,white,medium
census_829,female,work,blue,medium
census_830,other,education,blue,low
census_831,female,education,white,high
census_832,other,work,blue,medium
census_833,other,education,blue,high
census_834,female,education,white,high
census_835,female,work,blue,high
census_836,other,education,white,medium
census_837,other,education,blue,medium
census_838,female,work,white,high
census_839,male,work,white,high
census_840,male,work,blue,medium
census_841,other,work,blue,low
census_842,male,work,white,high
census_843,female,work,white,low
census_844,female,work,blue,medium
census_845,male,work,white,low
census_846,other,work,blue,medium
census_847,other,work,blue,medium
census_848,female,work,white,low
census_849,other,work,blue,medium
census_850,female,education,white,high
census_851,male,work,white,high
census_852,male,work,white,high
census_853,male,work,white,medium
census_854,female,education,white,medium
census_855,other,work,blue,low
census_856,female,work,white,high
census_857,other,work,blue,medium
census_858,female,work,blue,high
census_859,female,education,white,high
census_860,male,education,blue,medium
census_861,other,work,blue,low
census_862,other,work,white,low
census_863,other,work,white,high
census_864,male,work,blue,medium
census_865,other,work,white,high
census_866,other,work,white,low
census_867,female,work,white,medium
census_868,female,education,white,medium
census_869,male,education,blue,medium
census_870,other,work,blue,high
census_871,male,education,white,low
census_872,male,education,blue,low
census_873,male,work,white,medium
census_874,other,education,white,high
census_875,female,work,blue,medium
census_876,other,work,blue,high
census_877,male,education,white,medium
census_878,other,work,white,low
census_879,male,education,white,high
census_880,male,work,blue,low
census_881,male,work,blue,high
census_882,female,education,white,high
census_883,female,work,white,low
census_884,other,education,blue,high
census_885,other,work,white,medium
census_886,other,work,white,high
census_887,other,work,blue,high
census_888,male,work,blue,low
census_889,male,work,blue,medium
census_890,male,work,white,high
census_891,female,work,white,medium
census_892,female,work,white,medium
census_893,other,work,blue,medium
census_894,male,education,white,medium
census_895,female,work,white,medium
census_896,other,work,blue,medium
census_897,male,work,white,low
census_898,female,work,white,low
census_899,male,education,white,high
census_900,other,work,white,medium
census_901,other,work,white,high
census_902,other,work,blue,high
census_903,male,work,white,high
census_904,male,work,white,low
census_905,male,work,white,medium
census_906,other,work,white,low
census_907,male,education,blue,low
census_908,male,work,white,high
census_909,other,education,blue,low
census_910,other,work,white,high
census_911,female,work,white,medium
census_912,male,work,blue,high
census_913,male,work,blue,low
census_914,male,work,blue,high
census_915,other,work,blue,medium
census_916,female,work,white,medium
census_917,male,work,blue,high
census_918,female,work,blue,high
census_919,male,education,blue,medium
census_920,other,work,blue,medium
census_921,female,work,white,medium
census_922,other,education,blue,low
census_923,other,education,white,medium
census_924,other,work,white,medium
census_925,female,work,blue,high
census_926,male,work,white,low
census_927,other,education,white,low
census_928,female,work,white,high
census_929,female,work,blue,high
census_930,other,work,blue,low
census_931,female,education,white,medium
census_932,male,work,white,low
census_933,female,work,white,low
census_934,male,work,blue,high
census_935,female,work,blue,medium
census_936,male,education,white,low
census_937,other,work,blue,high
census_938,female,work,blue,high
census_939,other,work,white,low
census_940,other,education,blue,medium
census_941,other,work,blue,medium
census_942,other,work,white,medium
census_943,other,work,white,low
census_944,other,work,blue,high
census_945,other,work,white,low
census_946,male,education,blue,high
census_947,male,education,blue,medium
census_948,female,education,blue,medium
census_949,female,work,white,medium
census_950,male,work,white,medium
census_951,male,work,blue,medium
census_952,other,work,blue,medium
census_953,female,work,blue,high
census_954,female,work,blue,medium
census_955,other,education,white,low
census_956,male,education,white,medium
census_957,female,work,blue,high
census_958,male,work,white,low
census_959,female,education,blue,medium
census_960,male,education,blue,medium
census_961,male,education,white,high
census_962,other,education,blue,low
census_963,male,work,white,low
census_964,male,work,white,low
census_965,female,work,white,low
census_966,female,work,white,high
census_967,other,education,blue,low
census_968,female,work,white,low
census_969,female,work,white,medium
census_970,female,work,blue,low
census_971,male,work,white,high
census_972,other,work,blue,medium
census_973,other,work,white,medium
census_974,female,work,blue,medium
census_975,female,work,white,low
census_976,male,work,blue,high
census_977,other,work,blue,high
census_978,male,work,white,high
census_979,female,work,blue,high
census_980,male,work,white,low
census_981,female,work,white,medium
census_982,female,work,blue,low
census_983,other,education,white,high
census_984,female,work,blue,low
census_985,male,work,blue,low
census_986,other,work,blue,high
census_987,male,work,blue,medium
census_988,male,work,white,medium
census_989,other,work,white,high
census_990,female,work,white,high
census_991,other,work,blue,low
census_992,male,work,blue,low
census_993,male,work,blue,high
census_994,other,work,blue,low
census_995,other,education,blue,high
census_996,male,work,blue,medium
census_997,female,work,blue,high
census_998,male,work,blue,medium
census_999,female,work,blue,medium
census_1000,other,education,blue,high
census_1001,female,education,white,low
census_1002,female,work,white,high
census_1003,female,work,white,medium
census_1004,female,work,white,low
census_1005,other,work,white,high
census_1006,male,work,white,medium
census_1007,male,work,white,high
census_1008,other,work,blue,low
census_1009,male,education,white,medium
census_1010,other,work,blue,medium
census_1011,other,work,blue,low
census_1012,male,work,blue,high
census_1013,female,work,white,high
census_1014,other,work,white,medium
census_1015,male,work,white,medium
census_1016,other,work,white,low
census_1017,other,work,white,medium
census_1018,male,work,white,low
census_1019,other,education,white,high
census_1020,other,work,white,high
census_1021,female,work,white,high
census_1022,female,work,blue,low
census_1023,male,work,white,low
census_1024,other,work,blue,high
census_1025,male,education,white,low
census_1026,other,work,white,high
census_1027,other,education,white,high
census_1028,other,work,white,medium
census_1029,male,work,white,low
census_1030,female,work,white,low
census_1031,female,work,white,medium
census_1032,female,work,blue,low
census_1033,other,work,white,low
census_1034,other,work,blue,low
census_1035,male,education,white,low
census_1036,male,work,blue,medium
census_1037,female,education,blue,medium
census_1038,female,work,white,medium
census_1039,male,work,blue,high
census_1040,female,work,blue,medium
census_1041,female,work,blue,medium
census_1042,female,work,white,high
census_1043,other,work,blue,medium
census_1044,male,work,white,medium
census_1045,female,work,blue,high
census_1046,male,work,blue,medium
census_1047,female,work,blue,high
census_1048,male,work,white,low
census_1049,other,work,blue,medium
census_1050,female,work,blue,low
census_1051,female,work,white,low
census_1052,female,work,blue,medium
census_1053,male,work,white,high
census_1054,male,work,white,medium
census_1055,other,education,white,medium
census_1056,female,work,white,high
census_1057,male,work,blue,low
census_1058,male,work,white,medium
census_1059,male,education,blue,high
census_1060,female,education,blue,low
census_1061,female,education,blue,high
census_1062,female,work,blue,medium
census_1063,female,education,white,medium
census_1064,female,work,white,high
census_1065,male,education,white,medium
census_1066,female,work,blue,low
census_1067,female,work,white,medium
census_1068,female,education,white,high
census_1069,other,work,white,high
census_1070,other,work,white,medium
census_1071,other,work,blue,medium
census_1072,male,work,blue,medium
census_1073,other,work,white,low
census_1074,female,work,blue,high
census_1075,other,work,blue,high
census_1076,female,work,blue,high
census_1077,female,work,blue,low
census_1078,male,work,white,medium
census_1079,male,work,white,low
census_1080,female,work,blue,low
