uid,pid,hid,seq,hzone,ozone,dzone,purp,mode,tst,tet,freq
149,census_74,census_74,1,Bexley,"Westminster,City of London",Bexley,work,car,972,1011,1000
150,census_75,census_75,0,Lewisham,Lewisham,Tower Hamlets,work,pt,641,650,1000
151,census_75,census_75,1,Lewisham,Tower Hamlets,Lewisham,work,pt,1137,1146,1000
152,census_76,census_76,0,Waltham Forest,Waltham Forest,Enfield,work,pt,471,482,1000
153,census_76,census_76,1,Waltham Forest,Enfield,Waltham Forest,work,pt,1022,1033,1000
154,census_77,census_77,0,Bromley,Bromley,Bromley,work,pt,476,497,1000
155,census_77,census_77,1,Bromley,Bromley,Bromley,work,pt,1049,1070,1000
156,census_78,census_78,0,Croydon,Croydon,Lewisham,work,pt,517,546,1000
157,census_78,census_78,1,Croydon,Lewisham,Croydon,work,pt,1008,1037,1000
158,census_79,census_79,0,Islington,Islington,Islington,work,pt,497,500,1000
159,census_79,census_79,1,Islington,Islington,Islington,work,pt,1046,1049,1000
160,census_80,census_80,0,Greenwich,Greenwich,Tower Hamlets,work,pt,441,458,1000
161,census_80,census_80,1,Greenwich,Tower Hamlets,Greenwich,work,pt,967,984,1000
162,census_81,census_81,0,Bromley,Bromley,Camden,work,pt,491,544,1000
163,census_81,census_81,1,Bromley,Camden,Bromley,work,pt,1016,1069,1000
164,census_82,census_82,0,Barnet,Barnet,Tower Hamlets,work,pt,521,542,1000
165,census_82,census_82,1,Barnet,Tower Hamlets,Barnet,work,pt,1093,1114,1000
166,census_83,census_83,0,Southwark,Southwark,"Westminster,City of London",work,pt,441,454,1000
167,census_83,census_83,1,Southwark,"Westminster,City of London",Southwark,work,pt,998,1011,1000
168,census_84,census_84,0,Havering,Havering,Barking and Dagenham,education,pt,467,490,1000
169,census_84,census_84,1,Havering,Barking and Dagenham,Havering,education,pt,940,963,1000
170,census_85,census_85,0,Wandsworth,Wandsworth,Merton,education,pt,427,436,1000
171,census_85,census_85,1,Wandsworth,Merton,Wandsworth,education,pt,1008,1017,1000
172,census_86,census_86,0,Ealing,Ealing,"Westminster,City of London",work,pt,454,491,1000
173,census_86,census_86,1,Ealing,"Westminster,City of London",Ealing,work,pt,971,1008,1000
174,census_87,census_87,0,Barnet,Barnet,Barnet,work,car,534,541,1000
175,census_87,census_87,1,Barnet,Barnet,Barnet,work,car,1002,1009,1000
176,census_88,census_88,0,Hammersmith and Fulham,Hammersmith and Fulham,Kensington and Chelsea,work,pt,468,479,1000
177,census_88,census_88,1,Hammersmith and Fulham,Kensington and Chelsea,Hammersmith and Fulham,work,pt,948,959,1000
178,census_89,census_89,0,Tower Hamlets,Tower Hamlets,"Westminster,City of London",work,pt,545,556,1000
179,census_89,census_89,1,Tower Hamlets,"Westminster,City of London",Tower Hamlets,work,pt,1083,1094,1000
180,census_90,census_90,0,Hammersmith and Fulham,Hammersmith and Fulham,Brent,work,pt,477,498,1000
181,census_90,census_90,1,Hammersmith and Fulham,Brent,Hammersmith and Fulham,work,pt,951,972,1000
182,census_91,census_91,0,Newham,Newham,Redbridge,work,pt,478,497,1000
183,census_91,census_91,1,Newham,Redbridge,Newham,work,pt,955,974,1000
184,census_92,census_92,0,Barnet,Barnet,Barnet,work,pt,498,511,1000
185,census_92,census_92,1,Barnet,Barnet,Barnet,work,pt,1020,1033,1000
186,census_93,census_93,0,Camden,Camden,"Westminster,City of London",work,pt,418,425,1000
187,census_93,census_93,1,Camden,"Westminster,City of London",Camden,work,pt,920,927,1000
188,census_94,census_94,0,Haringey,Haringey,Hackney,work,car,600,613,1000
189,census_94,census_94,1,Haringey,Hackney,Haringey,work,car,1094,1107,1000
190,census_95,census_95,0,"Westminster,City of London","Westminster,City of London",Camden,work,pt,550,561,1000
191,census_95,census_95,1,"Westminster,City of London",Camden,"Westminster,City of London",work,pt,1134,1145,1000
192,census_96,census_96,0,Greenwich,Greenwich,Kensington and Chelsea,education,pt,473,512,1000
193,census_96,census_96,1,Greenwich,Kensington and Chelsea,Greenwich,education,pt,1004,1043,1000
194,census_97,census_97,0,Waltham Forest,Waltham Forest,Enfield,work,pt,613,634,1000
195,census_97,census_97,1,Waltham Forest,Enfield,Waltham Forest,work,pt,1205,1226,1000
196,census_98,census_98,0,Ealing,Ealing,Hillingdon,work,pt,513,540,1000
197,census_98,census_98,1,Ealing,Hillingdon,Ealing,work,pt,1062,1089,1000
198,census_99,census_99,0,Croydon,Croydon,"Westminster,City of London",work,pt,412,443,1000
199,census_99,census_99,1,Croydon,"Westminster,City of London",Croydon,work,pt,989,1020,1000
200,census_100,census_100,0,Southwark,Southwark,Camden,work,pt,458,469,1000
201,census_100,census_100,1,Southwark,Camden,Southwark,work,pt,938,949,1000
202,census_101,census_101,0,Wandsworth,Wandsworth,Merton,work,car,439,454,1000
203,census_101,census_101,1,Wandsworth,Merton,Wandsworth,work,car,1002,1017,1000
204,census_102,census_102,0,Lambeth,Lambeth,Tower Hamlets,work,pt,468,481,1000
205,census_102,census_102,1,Lambeth,Tower Hamlets,Lambeth,work,pt,906,919,1000
206,census_103,census_103,0,Camden,Camden,Camden,work,car,508,509,1000
207,census_103,census_103,1,Camden,Camden,Camden,work,car,977,978,1000
208,census_104,census_104,0,Newham,Newham,Camden,work,pt,496,515,1000
209,census_104,census_104,1,Newham,Camden,Newham,work,pt,1037,1056,1000
210,census_105,census_105,0,Wandsworth,Wandsworth,Hammersmith and Fulham,education,pt,503,516,1000
211,census_105,census_105,1,Wandsworth,Hammersmith and Fulham,Wandsworth,education,pt,981,994,1000
212,census_106,census_106,0,Merton,Merton,Kingston upon Thames,work,pt,485,500,1000
213,census_106,census_106,1,Merton,Kingston upon Thames,Merton,work,pt,1014,1029,1000
214,census_107,census_107,0,Haringey,Haringey,"Westminster,City of London",work,car,526,547,1000
215,census_107,census_107,1,Haringey,"Westminster,City of London",Haringey,work,car,953,974,1000
216,census_108,census_108,0,Ealing,Ealing,"Westminster,City of London",education,pt,448,477,1000
217,census_108,census_108,1,Ealing,"Westminster,City of London",Ealing,education,pt,935,964,1000
218,census_109,census_109,0,Waltham Forest,Waltham Forest,Waltham Forest,work,pt,514,517,1000
219,census_109,census_109,1,Waltham Forest,Waltham Forest,Waltham Forest,work,pt,994,997,1000
220,census_110,census_110,0,Brent,Brent,"Westminster,City of London",education,pt,484,509,1000
221,census_110,census_110,1,Brent,"Westminster,City of London",Brent,education,pt,1036,1061,1000
222,census_111,census_111,0,Hackney,Hackney,Wandsworth,work,pt,542,571,1000
223,census_111,census_111,1,Hackney,Wandsworth,Hackney,work,pt,1040,1069,1000
224,census_112,census_112,0,Bromley,Bromley,Southwark,education,pt,495,506,1000
225,census_112,census_112,1,Bromley,Southwark,Bromley,education,pt,1123,1134,1000
226,census_113,census_113,0,Tower Hamlets,Tower Hamlets,Tower Hamlets,work,pt,550,555,1000
227,census_113,census_113,1,Tower Hamlets,Tower Hamlets,Tower Hamlets,work,pt,1131,1136,1000
228,census_114,census_114,0,Greenwich,Greenwich,Tower Hamlets,work,pt,526,545,1000
229,census_114,census_114,1,Greenwich,Tower Hamlets,Greenwich,work,pt,1048,1067,1000
230,census_115,census_115,0,Bromley,Bromley,Islington,work,pt,487,522,1000
231,census_115,census_115,1,Bromley,Islington,Bromley,work,pt,985,1020,1000
232,census_116,census_116,0,Havering,Havering,"Westminster,City of London",work,pt,487,532,1000
233,census_116,census_116,1,Havering,"Westminster,City of London",Havering,work,pt,1036,1081,1000
234,census_117,census_117,0,Lambeth,Lambeth,"Westminster,City of London",education,pt,592,601,1000
235,census_117,census_117,1,Lambeth,"Westminster,City of London",Lambeth,education,pt,1055,1064,1000
236,census_118,census_118,0,Wandsworth,Wandsworth,Wandsworth,work,car,592,601,1000
237,census_118,census_118,1,Wandsworth,Wandsworth,Wandsworth,work,car,1038,1047,1000
238,census_119,census_119,0,Haringey,Haringey,Camden,work,pt,480,497,1000
239,census_119,census_119,1,Haringey,Camden,Haringey,work,pt,1040,1057,1000
240,census_120,census_120,0,Bexley,Bexley,Greenwich,work,pt,587,604,1000
241,census_120,census_120,1,Bexley,Greenwich,Bexley,work,pt,1032,1049,1000
242,census_121,census_121,0,Merton,Merton,"Westminster,City of London",work,car,410,435,1000
243,census_121,census_121,1,Merton,"Westminster,City of London",Merton,work,car,999,1024,1000
244,census_122,census_122,0,Lambeth,Lambeth,"Westminster,City of London",work,pt,481,488,1000
245,census_122,census_122,1,Lambeth,"Westminster,City of London",Lambeth,work,pt,1006,1013,1000
246,census_123,census_123,0,Hillingdon,Hillingdon,Ealing,work,pt,433,458,1000
247,census_123,census_123,1,Hillingdon,Ealing,Hillingdon,work,pt,1018,1043,1000
248,census_124,census_124,0,Wandsworth,Wandsworth,Camden,education,pt,484,507,1000
249,census_124,census_124,1,Wandsworth,Camden,Wandsworth,education,pt,1100,1123,1000
250,census_125,census_125,0,Brent,Brent,Hammersmith and Fulham,education,car,528,539,1000
251,census_125,census_125,1,Brent,Hammersmith and Fulham,Brent,education,car,1004,1015,1000
252,census_126,census_126,0,Bromley,Bromley,"Westminster,City of London",work,pt,438,463,1000
253,census_126,census_126,1,Bromley,"Westminster,City of London",Bromley,work,pt,967,992,1000
254,census_127,census_127,0,Hounslow,Hounslow,Richmond upon Thames,work,pt,427,440,1000
255,census_127,census_127,1,Hounslow,Richmond upon Thames,Hounslow,work,pt,1005,1018,1000
256,census_128,census_128,0,Barking and Dagenham,Barking and Dagenham,"Westminster,City of London",work,pt,405,446,1000
257,census_128,census_128,1,Barking and Dagenham,"Westminster,City of London",Barking and Dagenham,work,pt,902,943,1000
258,census_129,census_129,0,Barnet,Barnet,"Westminster,City of London",work,pt,512,533,1000
259,census_129,census_129,1,Barnet,"Westminster,City of London",Barnet,work,pt,1075,1096,1000
260,census_130,census_130,0,Lewisham,Lewisham,Camden,work,car,461,478,1000
261,census_130,census_130,1,Lewisham,Camden,Lewisham,work,car,905,922,1000
262,census_131,census_131,0,Barnet,Barnet,Ealing,work,pt,501,522,1000
263,census_131,census_131,1,Barnet,Ealing,Barnet,work,pt,952,973,1000
264,census_132,census_132,0,Lewisham,Lewisham,Bromley,work,pt,444,457,1000
265,census_132,census_132,1,Lewisham,Bromley,Lewisham,work,pt,988,1001,1000
266,census_133,census_133,0,Bexley,Bexley,Bexley,education,pt,482,493,1000
267,census_133,census_133,1,Bexley,Bexley,Bexley,education,pt,1004,1015,1000
268,census_134,census_134,0,Newham,Newham,Hackney,work,pt,591,594,1000
269,census_134,census_134,1,Newham,Hackney,Newham,work,pt,1036,1039,1000
270,census_135,census_135,0,Hounslow,Hounslow,Hounslow,work,pt,497,516,1000
271,census_135,census_135,1,Hounslow,Hounslow,Hounslow,work,pt,1058,1077,1000
272,census_136,census_136,0,Enfield,Enfield,Enfield,education,pt,460,467,1000
273,census_136,census_136,1,Enfield,Enfield,Enfield,education,pt,951,958,1000
274,census_137,census_137,0,Wandsworth,Wandsworth,Wandsworth,work,pt,422,423,1000
275,census_137,census_137,1,Wandsworth,Wandsworth,Wandsworth,work,pt,911,912,1000
276,census_138,census_138,0,Newham,Newham,Tower Hamlets,work,pt,436,441,1000
277,census_138,census_138,1,Newham,Tower Hamlets,Newham,work,pt,1012,1017,1000
278,census_139,census_139,0,Brent,Brent,Brent,work,pt,469,474,1000
279,census_139,census_139,1,Brent,Brent,Brent,work,pt,907,912,1000
280,census_140,census_140,0,Tower Hamlets,Tower Hamlets,"Westminster,City of London",work,pt,486,493,1000
281,census_140,census_140,1,Tower Hamlets,"Westminster,City of London",Tower Hamlets,work,pt,1067,1074,1000
282,census_141,census_141,0,Croydon,Croydon,"Westminster,City of London",work,car,430,459,1000
283,census_141,census_141,1,Croydon,"Westminster,City of London",Croydon,work,car,954,983,1000
284,census_142,census_142,0,Southwark,Southwark,Southwark,education,pt,414,425,1000
285,census_142,census_142,1,Southwark,Southwark,Southwark,education,pt,952,963,1000
286,census_143,census_143,0,Havering,Havering,Tower Hamlets,education,car,494,529,1000
287,census_143,census_143,1,Havering,Tower Hamlets,Havering,education,car,957,992,1000
288,census_144,census_144,0,Bexley,Bexley,Bexley,work,car,416,435,1000
289,census_144,census_144,1,Bexley,Bexley,Bexley,work,car,999,1018,1000
290,census_145,census_145,0,Bexley,Bexley,"Westminster,City of London",education,car,471,512,1000
291,census_145,census_145,1,Bexley,"Westminster,City of London",Bexley,education,car,950,991,1000
292,census_146,census_146,0,Tower Hamlets,Tower Hamlets,Tower Hamlets,work,pt,524,533,1000
293,census_146,census_146,1,Tower Hamlets,Tower Hamlets,Tower Hamlets,work,pt,984,993,1000
294,census_147,census_147,0,Croydon,Croydon,Croydon,work,pt,510,521,1000
295,census_147,census_147,1,Croydon,Croydon,Croydon,work,pt,1120,1131,1000
296,census_148,census_148,0,Richmond upon Thames,Richmond upon Thames,Hounslow,work,car,424,443,1000
297,census_148,census_148,1,Richmond upon Thames,Hounslow,Richmond upon Thames,work,car,932,951,1000
298,census_149,census_149,0,Newham,Newham,Barnet,education,pt,414,449,1000
299,census_149,census_149,1,Newham,Barnet,Newham,education,pt,885,920,1000
300,census_150,census_150,0,Hackney,Hackney,"Westminster,City of London",work,pt,439,446,1000
301,census_150,census_150,1,Hackney,"Westminster,City of London",Hackney,work,pt,901,908,1000
302,census_151,census_151,0,Croydon,Croydon,Croydon,work,pt,422,435,1000
303,census_151,census_151,1,Croydon,Croydon,Croydon,work,pt,962,975,1000
304,census_152,census_152,0,Newham,Newham,Southwark,work,pt,465,480,1000
305,census_152,census_152,1,Newham,Southwark,Newham,work,pt,962,977,1000
306,census_153,census_153,0,Enfield,Enfield,Enfield,work,car,563,570,1000
307,census_153,census_153,1,Enfield,Enfield,Enfield,work,car,1020,1027,1000
308,census_154,census_154,0,Tower Hamlets,Tower Hamlets,Brent,work,pt,466,505,1000
309,census_154,census_154,1,Tower Hamlets,Brent,Tower Hamlets,work,pt,1107,1146,1000
310,census_155,census_155,0,Kensington and Chelsea,Kensington and Chelsea,Ealing,work,pt,453,478,1000
311,census_155,census_155,1,Kensington and Chelsea,Ealing,Kensington and Chelsea,work,pt,996,1021,1000
312,census_156,census_156,0,Southwark,Southwark,"Westminster,City of London",work,pt,462,473,1000
313,census_156,census_156,1,Southwark,"Westminster,City of London",Southwark,work,pt,956,967,1000
314,census_157,census_157,0,Waltham Forest,Waltham Forest,Newham,work,pt,559,576,1000
315,census_157,census_157,1,Waltham Forest,Newham,Waltham Forest,work,pt,1126,1143,1000
316,census_158,census_158,0,Lewisham,Lewisham,"Westminster,City of London",work,pt,444,453,1000
317,census_158,census_158,1,Lewisham,"Westminster,City of London",Lewisham,work,pt,927,936,1000
318,census_159,census_159,0,Sutton,Sutton,Croydon,education,car,454,469,1000
319,census_159,census_159,1,Sutton,Croydon,Sutton,education,car,935,950,1000
320,census_160,census_160,0,Hammersmith and Fulham,Hammersmith and Fulham,Bromley,work,pt,503,546,1000
